captured_at,date,sku,price,source
2026-09-05T09:00:00+08:00,2026-09-05,12915894,1001.65,simulated
2026-09-05T09:00:00+08:00,2026-09-05,6671809,1015.37,simulated
2026-09-05T09:00:00+08:00,2026-09-05,6679148,1375.31,simulated
2026-09-06T09:00:00+08:00,2026-09-06,12915894,1002.43,simulated
2026-09-06T09:00:00+08:00,2026-09-06,6671809,1012.74,simulated
2026-09-06T09:00:00+08:00,2026-09-06,6679148,1444.96,simulated
2026-09-07T09:00:00+08:00,2026-09-07,12915894,994.91,simulated
2026-09-07T09:00:00+08:00,2026-09-07,6671809,986.07,simulated
2026-09-07T09:00:00+08:00,2026-09-07,6679148,1438.26,simulated
2026-09-08T09:00:00+08:00,2026-09-08,12915894,982.9,simulated
2026-09-08T09:00:00+08:00,2026-09-08,6671809,998.08,simulated
2026-09-08T09:00:00+08:00,2026-09-08,6679148,1411.59,simulated
2026-09-09T09:00:00+08:00,2026-09-09,12915894,977.12,simulated
2026-09-09T09:00:00+08:00,2026-09-09,6671809,969.77,simulated
2026-09-09T09:00:00+08:00,2026-09-09,6679148,1402.58,simulated
2026-09-10T09:00:00+08:00,2026-09-10,12915894,1037.48,simulated
2026-09-10T09:00:00+08:00,2026-09-10,6671809,1000.97,simulated
2026-09-10T09:00:00+08:00,2026-09-10,6679148,1358.79,simulated
2026-09-11T09:00:00+08:00,2026-09-11,12915894,999.0,manual
2026-09-11T09:00:00+08:00,2026-09-11,6671809,999.99,manual
2026-09-11T09:00:00+08:00,2026-09-11,6679148,1399.99,manual
2026-09-12T09:00:00+08:00,2026-09-12,12915894,999.0,manual
2026-09-12T09:00:00+08:00,2026-09-12,6671809,999.99,manual
2026-09-12T09:00:00+08:00,2026-09-12,6679148,1399.99,manual
2026-09-13T09:00:00+08:00,2026-09-13,12915894,999.0,manual
2026-09-13T09:00:00+08:00,2026-09-13,6671809,999.99,manual
2026-09-13T09:00:00+08:00,2026-09-13,6679148,1399.99,manual
2026-09-14T06:36:31+08:00,2026-09-14,12915894,999.0,scraped
2026-09-14T06:36:31+08:00,2026-09-14,6671809,999.99,scraped
2026-09-14T06:36:31+08:00,2026-09-14,6679148,1399.99,scraped
2026-09-15T09:00:00+08:00,2026-09-15,12915894,1003.16,simulated
2026-09-15T09:00:00+08:00,2026-09-15,6671809,979.97,simulated
2026-09-15T09:00:00+08:00,2026-09-15,6679148,1430.71,simulated
2026-09-16T09:00:00+08:00,2026-09-16,12915894,987.77,simulated
2026-09-16T09:00:00+08:00,2026-09-16,6671809,1039.25,simulated
2026-09-16T09:00:00+08:00,2026-09-16,6679148,1411.45,simulated
2026-09-17T09:00:00+08:00,2026-09-17,12915894,995.25,simulated
2026-09-17T09:00:00+08:00,2026-09-17,6671809,1039.62,simulated
2026-09-17T09:00:00+08:00,2026-09-17,6679148,1427.33,simulated
2026-09-18T09:00:00+08:00,2026-09-18,12915894,1021.0,simulated
2026-09-18T09:00:00+08:00,2026-09-18,6671809,1010.03,simulated
2026-09-18T09:00:00+08:00,2026-09-18,6679148,1415.61,simulated
2026-09-19T09:00:00+08:00,2026-09-19,12915894,963.9,simulated
2026-09-19T09:00:00+08:00,2026-09-19,6671809,1003.11,simulated
2026-09-19T09:00:00+08:00,2026-09-19,6679148,1436.06,simulated
2026-09-20T09:00:00+08:00,2026-09-20,12915894,986.63,simulated
2026-09-20T09:00:00+08:00,2026-09-20,6671809,972.78,simulated
2026-09-20T09:00:00+08:00,2026-09-20,6679148,1388.51,simulated
2026-09-21T09:00:00+08:00,2026-09-21,12915894,1038.62,simulated
2026-09-21T09:00:00+08:00,2026-09-21,6671809,962.33,simulated
2026-09-21T09:00:00+08:00,2026-09-21,6679148,1432.9,simulated
2026-09-22T09:00:00+08:00,2026-09-22,12915894,979.16,simulated
2026-09-22T09:00:00+08:00,2026-09-22,6671809,1015.54,simulated
2026-09-22T09:00:00+08:00,2026-09-22,6679148,1449.42,simulated
2026-09-23T09:00:00+08:00,2026-09-23,12915894,1006.76,simulated
2026-09-23T09:00:00+08:00,2026-09-23,6671809,967.79,simulated
2026-09-23T09:00:00+08:00,2026-09-23,6679148,1405.45,simulated
2026-09-24T09:00:00+08:00,2026-09-24,12915894,959.31,simulated
2026-09-24T09:00:00+08:00,2026-09-24,6671809,1013.89,simulated
2026-09-24T09:00:00+08:00,2026-09-24,6679148,1422.3,simulated
2026-09-25T14:52:02+08:00,2026-09-25,12915894,999.0,scraped
2026-09-25T14:52:02+08:00,2026-09-25,6671809,999.99,scraped
2026-09-25T14:52:02+08:00,2026-09-25,6679148,1399.99,scraped
